strategy,market_id,entry_date,exit_date,entry_price,exit_price,outcome,pnl,roi
Trend Filter,market_0,2025-12-11 00:00:00,2025-12-31 18:00:00,0.45358496792104774,0.9718578408276812,YES,0.5464150320789523,1.2046585992110364
Trend Filter,market_1,2024-11-08 06:00:00,2024-11-21 12:00:00,0.5550493937792282,0.09179876950696304,NO,-0.5550493937792282,-1.0
Trend Filter,market_10,2025-01-27 00:00:00,2025-02-07 18:00:00,0.4086495473514882,0.9445800554956155,YES,0.5913504526485118,1.4470845654452145
Trend Filter,market_100,2025-10-22 00:00:00,2025-11-07 18:00:00,0.48308520337322614,0.05276292413168985,NO,-0.48308520337322614,-1.0
Trend Filter,market_103,2025-01-17 06:00:00,2025-01-18 18:00:00,0.20013829010681106,0.013911534116898966,NO,-0.20013829010681106,-1.0
Trend Filter,market_106,2025-07-20 12:00:00,2025-07-26 00:00:00,0.5678408739442973,0.05408688630049287,NO,-0.5678408739442973,-1.0
Trend Filter,market_107,2025-11-15 00:00:00,2025-11-22 12:00:00,0.45343813856495574,0.01,NO,-0.45343813856495574,-1.0
Trend Filter,market_108,2025-07-26 00:00:00,2025-07-30 18:00:00,0.9595554709271084,0.9088258402646514,YES,0.040444529072891644,0.04214923503465072
Trend Filter,market_109,2026-01-14 12:00:00,2026-02-07 00:00:00,0.8072913932972385,0.09225712381377296,NO,-0.8072913932972385,-1.0
Trend Filter,market_11,2024-10-08 00:00:00,2024-10-14 18:00:00,0.37432445239165363,0.9369371641038016,YES,0.6256755476083464,1.67147923041294
Trend Filter,market_110,2025-11-15 00:00:00,2025-11-20 06:00:00,0.2950585302296603,0.9568970977863951,YES,0.7049414697703398,2.389158073896881
Trend Filter,market_111,2025-02-18 00:00:00,2025-02-25 00:00:00,0.48304564137067574,0.928076373897987,YES,0.5169543586293243,1.070197750180356
Trend Filter,market_113,2024-12-27 00:00:00,2024-12-28 06:00:00,0.482909708419894,0.9356468975116641,YES,0.517090291580106,1.0707804845590134
Trend Filter,market_114,2025-09-20 06:00:00,2025-10-18 18:00:00,0.99,0.956729741765813,YES,0.010000000000000009,0.01010101010101011
Trend Filter,market_115,2025-02-17 00:00:00,2025-02-23 18:00:00,0.6099420048962079,0.8989717191786029,YES,0.39005799510379213,0.6395001360336992
Trend Filter,market_116,2024-12-27 00:00:00,2024-12-31 18:00:00,0.3099151657213939,0.8602501984587738,YES,0.6900848342786061,2.2266894641063657
Trend Filter,market_117,2025-07-10 00:00:00,2025-07-20 00:00:00,0.42858441013244664,0.99,YES,0.5714155898675534,1.3332626580863434
Trend Filter,market_12,2026-01-26 12:00:00,2026-02-01 12:00:00,0.8925797447140007,0.99,YES,0.1074202552859993,0.12034807637318587
Trend Filter,market_120,2025-03-25 12:00:00,2025-03-31 06:00:00,0.5501917785071857,0.016871127926064704,NO,-0.5501917785071857,-1.0
Trend Filter,market_121,2024-11-17 00:00:00,2024-11-19 06:00:00,0.7439881277008522,0.99,YES,0.2560118722991478,0.34410746995426084
Trend Filter,market_122,2025-07-06 00:00:00,2025-07-21 06:00:00,0.6727296202939768,0.9253943737394678,YES,0.32727037970602324,0.48648129922242617
Trend Filter,market_124,2025-11-23 06:00:00,2025-11-26 06:00:00,0.24927079318171802,0.1334317075199359,NO,-0.24927079318171802,-1.0
